property,postcode,transfer_unit_postcode,transfer_unit_travel_time,selected,selected,BNG_E,BNG_N,Latitude,Longitude,BNG_E_mt,BNG_N_mt,Latitude_mt,Longitude_mt,unit_coords,transfer_coords,line_coords,geometry
scenario,any,any,any,drip-and-ship,mothership,any,any,any,any,any,any,any,any,any,any,any,any
id,,,,,,,,,,,,,,,,,
60,DN157BH,HU32JZ,42.3,0.0,,488341.0,410921.0,53.58744,-0.66693886,508369.0,428810.0,53.744412,-0.35827125,"[488341.0, 410921.0]","[508369.0, 428810.0]","[[488341.0, 410921.0], [508369.0, 428810.0]]","LINESTRING (488341 410921, 508369 428810)"
61,DN157BH,,,,0.0,488341.0,410921.0,53.58744,-0.66693886,,,,,"[488341.0, 410921.0]","[nan, nan]","[[488341.0, 410921.0], [nan, nan]]","LINESTRING (488341 410921, NaN NaN)"
62,DN25LT,S102JF,33.7,0.0,,459141.0,404156.0,53.530742,-1.1092567,433794.0,386966.0,53.378472,-1.4934651,"[459141.0, 404156.0]","[433794.0, 386966.0]","[[459141.0, 404156.0], [433794.0, 386966.0]]","LINESTRING (459141 404156, 433794 386966)"
63,DN25LT,,,,0.0,459141.0,404156.0,53.530742,-1.1092567,,,,,"[459141.0, 404156.0]","[nan, nan]","[[459141.0, 404156.0], [nan, nan]]","LINESTRING (459141 404156, NaN NaN)"
64,DT12JY,SO166YD,67.0,0.0,,368528.0,90521.0,50.713461,-2.4471253,439793.0,114993.0,50.933019,-1.435104,"[368528.0, 90521.0]","[439793.0, 114993.0]","[[368528.0, 90521.0], [439793.0, 114993.0]]","LINESTRING (368528 90521, 439793 114993)"
65,DT12JY,,,,0.0,368528.0,90521.0,50.713461,-2.4471253,,,,,"[368528.0, 90521.0]","[nan, nan]","[[368528.0, 90521.0], [nan, nan]]","LINESTRING (368528 90521, NaN NaN)"
66,DY12HQ,B152TH,25.1,0.0,,392104.0,289385.0,52.502306,-2.1177498,404427.0,283926.0,52.453272,-1.9362835,"[392104.0, 289385.0]","[404427.0, 283926.0]","[[392104.0, 289385.0], [404427.0, 283926.0]]","LINESTRING (392104 289385, 404427 283926)"
67,DY12HQ,,,,0.0,392104.0,289385.0,52.502306,-2.1177498,,,,,"[392104.0, 289385.0]","[nan, nan]","[[392104.0, 289385.0], [nan, nan]]","LINESTRING (392104 289385, NaN NaN)"
68,E11BB,E11BB,0.0,0.0,0.0,534833.0,181799.0,51.519026,-0.058075032,534833.0,181799.0,51.519026,-0.058075032,"[534833.0, 181799.0]","[534833.0, 181799.0]","[[534833.0, 181799.0], [534833.0, 181799.0]]","LINESTRING (534833 181799, 534833 181799)"
69,EX25DW,PL68DH,59.5,1.0,,293730.0,91870.0,50.716712,-3.5066801,249930.0,59564.0,50.41672,-4.1136845,"[293730.0, 91870.0]","[249930.0, 59564.0]","[[293730.0, 91870.0], [249930.0, 59564.0]]","LINESTRING (293730 91870, 249930 59564)"
70,EX25DW,,,,0.0,293730.0,91870.0,50.716712,-3.5066801,,,,,"[293730.0, 91870.0]","[nan, nan]","[[293730.0, 91870.0], [nan, nan]]","LINESTRING (293730 91870, NaN NaN)"
71,EX314JB,PL68DH,90.6,1.0,,256457.0,134545.0,51.092201,-4.0511326,249930.0,59564.0,50.41672,-4.1136845,"[256457.0, 134545.0]","[249930.0, 59564.0]","[[256457.0, 134545.0], [249930.0, 59564.0]]","LINESTRING (256457 134545, 249930 59564)"
72,EX314JB,,,,0.0,256457.0,134545.0,51.092201,-4.0511326,,,,,"[256457.0, 134545.0]","[nan, nan]","[[256457.0, 134545.0], [nan, nan]]","LINESTRING (256457 134545, NaN NaN)"
73,FY38NR,PR29HT,25.1,0.0,,333195.0,436523.0,53.820669,-3.0162645,353495.0,433014.0,53.79135,-2.7074034,"[333195.0, 436523.0]","[353495.0, 433014.0]","[[333195.0, 436523.0], [353495.0, 433014.0]]","LINESTRING (333195 436523, 353495 433014)"
74,FY38NR,,,,0.0,333195.0,436523.0,53.820669,-3.0162645,,,,,"[333195.0, 436523.0]","[nan, nan]","[[333195.0, 436523.0], [nan, nan]]","LINESTRING (333195 436523, NaN NaN)"
75,GL13NN,BS105NB,46.6,1.0,,383992.0,218638.0,51.866088,-2.2338867,358935.0,177766.0,51.497333,-2.5929485,"[383992.0, 218638.0]","[358935.0, 177766.0]","[[383992.0, 218638.0], [358935.0, 177766.0]]","LINESTRING (383992 218638, 358935 177766)"
76,GL13NN,,,,0.0,383992.0,218638.0,51.866088,-2.2338867,,,,,"[383992.0, 218638.0]","[nan, nan]","[[383992.0, 218638.0], [nan, nan]]","LINESTRING (383992 218638, NaN NaN)"
77,GU167UJ,SW66SX,45.5,0.0,,487794.0,158592.0,51.31967,-0.74155505,524227.0,176487.0,51.473716,-0.21272176,"[487794.0, 158592.0]","[524227.0, 176487.0]","[[487794.0, 158592.0], [524227.0, 176487.0]]","LINESTRING (487794 158592, 524227 176487)"
78,GU167UJ,,,,0.0,487794.0,158592.0,51.31967,-0.74155505,,,,,"[487794.0, 158592.0]","[nan, nan]","[[487794.0, 158592.0], [nan, nan]]","LINESTRING (487794 158592, NaN NaN)"
79,GU27XX,,,0.0,0.0,497304.0,150015.0,51.241025,-0.60746234,,,,,"[497304.0, 150015.0]","[nan, nan]","[[497304.0, 150015.0], [nan, nan]]","LINESTRING (497304 150015, NaN NaN)"
80,HA13UJ,NW12BU,25.1,0.0,,516346.0,187581.0,51.575098,-0.32248145,529340.0,182306.0,51.524865,-0.13701251,"[516346.0, 187581.0]","[529340.0, 182306.0]","[[516346.0, 187581.0], [529340.0, 182306.0]]","LINESTRING (516346 187581, 529340 182306)"
81,HA13UJ,,,,0.0,516346.0,187581.0,51.575098,-0.32248145,,,,,"[516346.0, 187581.0]","[nan, nan]","[[516346.0, 187581.0], [nan, nan]]","LINESTRING (516346 187581, NaN NaN)"
82,HG27SX,,,0.0,0.0,431709.0,455414.0,53.993799,-1.5178329,,,,,"[431709.0, 455414.0]","[nan, nan]","[[431709.0, 455414.0], [nan, nan]]","LINESTRING (431709 455414, NaN NaN)"
83,HP112TT,OX39DU,34.8,0.0,,486387.0,192671.0,51.626235,-0.75341914,453940.0,207531.0,51.763871,-1.2198064,"[486387.0, 192671.0]","[453940.0, 207531.0]","[[486387.0, 192671.0], [453940.0, 207531.0]]","LINESTRING (486387 192671, 453940 207531)"
84,HP112TT,,,,0.0,486387.0,192671.0,51.626235,-0.75341914,,,,,"[486387.0, 192671.0]","[nan, nan]","[[486387.0, 192671.0], [nan, nan]]","LINESTRING (486387 192671, NaN NaN)"
85,HR12ER,CF144XW,72.4,0.0,,351722.0,240075.0,52.056942,-2.7055327,317551.0,179319.0,51.506764,-3.1893604,"[351722.0, 240075.0]","[317551.0, 179319.0]","[[351722.0, 240075.0], [317551.0, 179319.0]]","LINESTRING (351722 240075, 317551 179319)"
86,HR12ER,,,,0.0,351722.0,240075.0,52.056942,-2.7055327,,,,,"[351722.0, 240075.0]","[nan, nan]","[[351722.0, 240075.0], [nan, nan]]","LINESTRING (351722 240075, NaN NaN)"
87,HU32JZ,HU32JZ,0.0,0.0,0.0,508369.0,428810.0,53.744412,-0.35827125,508369.0,428810.0,53.744412,-0.35827125,"[508369.0, 428810.0]","[508369.0, 428810.0]","[[508369.0, 428810.0], [508369.0, 428810.0]]","LINESTRING (508369 428810, 508369 428810)"
88,HX30PW,LS13EX,30.5,0.0,,409519.0,423218.0,53.705306,-1.8572797,429621.0,433998.0,53.801445,-1.5517436,"[409519.0, 423218.0]","[429621.0, 433998.0]","[[409519.0, 423218.0], [429621.0, 433998.0]]","LINESTRING (409519 423218, 429621 433998)"
89,HX30PW,,,,0.0,409519.0,423218.0,53.705306,-1.8572797,,,,,"[409519.0, 423218.0]","[nan, nan]","[[409519.0, 423218.0], [nan, nan]]","LINESTRING (409519 423218, NaN NaN)"
90,IP332QZ,CB20QQ,45.5,0.0,,585110.0,262732.0,52.231662,0.70917557,546375.0,254988.0,52.173741,0.13911444,"[585110.0, 262732.0]","[546375.0, 254988.0]","[[585110.0, 262732.0], [546375.0, 254988.0]]","LINESTRING (585110 262732, 546375 254988)"
91,IP332QZ,,,,0.0,585110.0,262732.0,52.231662,0.70917557,,,,,"[585110.0, 262732.0]","[nan, nan]","[[585110.0, 262732.0], [nan, nan]]","LINESTRING (585110 262732, NaN NaN)"
92,IP45PD,CB20QQ,76.7,0.0,,619213.0,245003.0,52.060012,1.1963461,546375.0,254988.0,52.173741,0.13911444,"[619213.0, 245003.0]","[546375.0, 254988.0]","[[619213.0, 245003.0], [546375.0, 254988.0]]","LINESTRING (619213 245003, 546375 254988)"
93,IP45PD,,,,0.0,619213.0,245003.0,52.060012,1.1963461,,,,,"[619213.0, 245003.0]","[nan, nan]","[[619213.0, 245003.0], [nan, nan]]","LINESTRING (619213 245003, NaN NaN)"
94,KT160PZ,SW66SX,35.9,0.0,,502628.0,165256.0,51.377091,-0.52683986,524227.0,176487.0,51.473716,-0.21272176,"[502628.0, 165256.0]","[524227.0, 176487.0]","[[502628.0, 165256.0], [524227.0, 176487.0]]","LINESTRING (502628 165256, 524227 176487)"
95,KT160PZ,,,,0.0,502628.0,165256.0,51.377091,-0.52683986,,,,,"[502628.0, 165256.0]","[nan, nan]","[[502628.0, 165256.0], [nan, nan]]","LINESTRING (502628 165256, NaN NaN)"
96,KT187EG,SW170QT,26.2,0.0,,520402.0,159851.0,51.325026,-0.27340744,526925.0,171325.0,51.426727,-0.17574589,"[520402.0, 159851.0]","[526925.0, 171325.0]","[[520402.0, 159851.0], [526925.0, 171325.0]]","LINESTRING (520402 159851, 526925 171325)"
97,KT187EG,,,,0.0,520402.0,159851.0,51.325026,-0.27340744,,,,,"[520402.0, 159851.0]","[nan, nan]","[[520402.0, 159851.0], [nan, nan]]","LINESTRING (520402 159851, NaN NaN)"
98,L355DR,L97AL,18.7,0.0,,347861.0,391845.0,53.420813,-2.7860133,338020.0,397205.0,53.467918,-2.9351308,"[347861.0, 391845.0]","[338020.0, 397205.0]","[[347861.0, 391845.0], [338020.0, 397205.0]]","LINESTRING (347861 391845, 338020 397205)"
99,L355DR,,,,0.0,347861.0,391845.0,53.420813,-2.7860133,,,,,"[347861.0, 391845.0]","[nan, nan]","[[347861.0, 391845.0], [nan, nan]]","LINESTRING (347861 391845, NaN NaN)"
100,L78XP,,,0.0,0.0,335962.0,390733.0,53.409506,-2.9648088,,,,,"[335962.0, 390733.0]","[nan, nan]","[[335962.0, 390733.0], [nan, nan]]","LINESTRING (335962 390733, NaN NaN)"
101,L97AL,L97AL,0.0,0.0,0.0,338020.0,397205.0,53.467918,-2.9351308,338020.0,397205.0,53.467918,-2.9351308,"[338020.0, 397205.0]","[338020.0, 397205.0]","[[338020.0, 397205.0], [338020.0, 397205.0]]","LINESTRING (338020 397205, 338020 397205)"
102,LA144LF,PR29HT,74.5,0.0,,321180.0,471847.0,54.136395,-3.2078839,353495.0,433014.0,53.79135,-2.7074034,"[321180.0, 471847.0]","[353495.0, 433014.0]","[[321180.0, 471847.0], [353495.0, 433014.0]]","LINESTRING (321180 471847, 353495 433014)"
103,LA144LF,,,,0.0,321180.0,471847.0,54.136395,-3.2078839,,,,,"[321180.0, 471847.0]","[nan, nan]","[[321180.0, 471847.0], [nan, nan]]","LINESTRING (321180 471847, NaN NaN)"
104,LA14RP,PR29HT,30.5,0.0,,347775.0,461064.0,54.042889,-2.7990215,353495.0,433014.0,53.79135,-2.7074034,"[347775.0, 461064.0]","[353495.0, 433014.0]","[[347775.0, 461064.0], [353495.0, 433014.0]]","LINESTRING (347775 461064, 353495 433014)"
105,LA14RP,,,,0.0,347775.0,461064.0,54.042889,-2.7990215,,,,,"[347775.0, 461064.0]","[nan, nan]","[[347775.0, 461064.0], [nan, nan]]","LINESTRING (347775 461064, NaN NaN)"
