property,,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency,utility_shift,utility_shift,mRS shift,mRS shift,mRS 0-2,mRS 0-2
scenario,,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership
subtype,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,mean,std,mean,std,mean,std
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 008A,E01014427,6.9,BA13NG,1,0.666666667,8.565677335217782e-05,,,,,,,,,,,,,,,,,,,,,,,31.6,BS105NB,1,0.666666667,9.42151875353307e-05,30,,60,,80,,111.6,,141.6,,,,,,-0.5106565732767505,,0.09411476425082643,,0.6825566136959965,,0.666666667,9.42151875353307e-05,,,,,,
Bath and North East Somerset 008B,E01014428,6.9,BA13NG,1,0.333333333,4.2828386611846335e-05,30,,60,,80,,86.9,,,,,,,,,,,,,,0.333333333,4.2828386611846335e-05,32.6,BS105NB,1,0.333333333,4.710759369700396e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 008C,E01014429,7.9,BA13NG,1,1.333333333,0.00017131354657587048,30,0,60,0,80,0,87.9,0,117.9,,181.6,,241.6,,-0.6014325184208369,,0.12144514601594258,,0.3927540353283616,,1.333333333,0.00017131354657587048,31.6,BS105NB,1,1.333333333,0.0001884303749293386,30,0,60,0,80,0,111.6,0,141.6,0,,,,,-0.5106565732767505,0.0,0.09411476425082643,0.0,0.6825566136959965,0.0,1.333333333,0.0001884303749293386,0.027330381765116152,0.0,-0.09077594514408638,0.0,-0.2898025783676349,0.0
Bath and North East Somerset 008D,E01014430,7.9,BA13NG,1,3.0,0.00038545547989207247,30,0,60,0,80,0,87.9,0,117.9,0,181.6,,241.6,,-0.5724129382207418,0.019346386800063387,0.10769276264776478,0.009168255578785199,0.6174191587961859,0.14977674897854956,3.0,0.00038545547989207247,31.6,BS105NB,1,3.0,0.00042396834369700395,30,,60,,80,,111.6,,141.6,,,,,,-0.5106565732767505,,0.09411476425082643,,0.6825566136959965,,3.0,0.00042396834369700395,0.013577998396938351,0.009168255578785199,-0.06175636494399128,0.019346386800063387,-0.0651374548998106,0.14977674897854956
Bath and North East Somerset 009A,E01014405,7.9,BA13NG,1,2.666666667,0.0003426270932802261,30,0,60,0,80,0,87.9,0,117.90000000000002,0,181.6,0,241.6,0,-0.5885349272207946,0.022339283253726434,0.11533297563008578,0.010586589652821846,0.4926052013140613,0.17294729268222514,2.666666667,0.0003426270932802261,33.7,BS105NB,1,2.666666667,0.00037686075,30,0,60,0,80,0,113.7,0,143.7,0,,,143.7,,-0.7155025001033534,0.2962560487429796,0.13734078498194294,0.062268942608299495,0.5695686635310596,0.15855596643747638,2.666666667,0.00037686075,-0.022007809351857158,0.06316246586409471,0.12696757288255878,0.29709710532600775,-0.07696346221699829,0.2346289848655391
Bath and North East Somerset 009C,E01014407,10.1,BA13NG,1,1.0,0.00012848515996402416,30,0,60,0,80,0,90.1,0,120.1,0,,,,,-0.5579261645693461,0.0,0.102280646480582,0.0,0.6914094027445281,0.0,1.0,0.00012848515996402416,33.7,BS105NB,1,1.0,0.00014132278123233464,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
Bath and North East Somerset 009E,E01033080,10.1,BA13NG,1,1.666666667,0.000214141933316202,30,0,60,0,80,0,90.1,0,120.09999999999998,0,,,,,-0.5579261645693461,0.0,0.102280646480582,0.0,0.6914094027445281,0.0,1.666666667,0.000214141933316202,35.9,BS105NB,1,1.666666667,0.00023553796876766536,30,,60,,80,,115.9,,145.9,,,,145.9,,-0.9175183382021013,,0.180012547011363,,0.4559742319491503,,1.666666667,0.00023553796876766536,-0.077731900530781,0.0,0.3595921736327552,0.0,0.2354351707953778,0.0
Bath and North East Somerset 010A,E01014373,17.6,BA13NG,1,3.666666667,0.00047111225324425026,30,0,60,0,80,0,97.59999999999998,0,127.59999999999998,0,191.3,0,251.3,0,-0.5607681900648377,0.016701162963095987,0.11021046131467853,0.009321140447829519,0.48711649970411836,0.17426182828052242,3.666666667,0.00047111225324425026,33.7,BS105NB,1,3.666666667,0.0005181835312323347,30,0,60,0,80,0,113.7,0,143.7,0,,,,,-0.5060178390696601,0.0,0.09330999340629842,0.0,0.6816846625965858,0.0,3.666666667,0.0005181835312323347,0.01690046790838011,0.009321140447829519,-0.054750350995177555,0.016701162963095987,-0.19456816289246742,0.17426182828052242
Bath and North East Somerset 010B,E01014374,17.6,BA13NG,1,5.333333333,0.000685254186431967,30,0,60,0,80,0,97.6,0,127.6,0,191.3,0,251.3,0,-0.5559469795985761,0.016701162963095987,0.10751967984132418,0.009321140447829519,0.5374215564377363,0.17426182828052245,5.333333333,0.000685254186431967,33.7,BS105NB,1,5.333333333,0.0007537214998586772,30,0,60,0,80,0,113.7,0,143.7,0,,,143.7,,-0.645674279758789,0.2418920508778006,0.1226638544567281,0.050842378737661335,0.6069406632195683,0.12946040448189078,5.333333333,0.0007537214998586772,-0.015144174615403919,0.051689758511255984,0.08972730016021291,0.2424679218416085,-0.06951910678183204,0.217087957114818
Bath and North East Somerset 010C,E01014375,19.8,BA13NG,1,2.333333333,0.00029979870653989467,30,0,60,0,80,0,99.8,0,,,,,,,,,,,,,2.333333333,0.00029979870653989467,31.6,BS105NB,1,2.333333333,0.0003297531561616733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
