lsoa,lsoa_code,unit_travel_time,unit_postcode,selected,admissions,relative_frequency
Bristol 032F,E01033345,18.7,BS105NB,1,0.333333333,4.710759369700396e-05
Bristol 032G,E01033350,18.7,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 033A,E01014677,18.7,BS105NB,1,0.333333333,4.710759369700396e-05
Bristol 033B,E01014678,18.7,BS105NB,1,2.666666667,0.00037686075
Bristol 033C,E01014679,18.7,BS105NB,1,1.0,0.00014132278123233464
Bristol 033D,E01014680,18.7,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 034A,E01014548,18.7,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 034B,E01014549,19.8,BS105NB,1,1.0,0.00014132278123233464
Bristol 034C,E01014550,19.8,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 034D,E01014555,17.6,BS105NB,1,1.0,0.00014132278123233464
Bristol 035A,E01014528,18.7,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 035B,E01014529,19.8,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 035C,E01014530,19.8,BS105NB,1,0.333333333,4.710759369700396e-05
Bristol 035D,E01014531,17.6,BS105NB,1,0.333333333,4.710759369700396e-05
Bristol 035E,E01014532,18.7,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 035F,E01014537,19.8,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 036A,E01014695,20.8,BS105NB,1,3.0,0.00042396834369700395
Bristol 036B,E01014696,20.8,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 036C,E01014698,19.8,BS105NB,1,1.0,0.00014132278123233464
Bristol 036D,E01014699,19.8,BS105NB,1,2.666666667,0.00037686075
Bristol 036E,E01014700,20.8,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 036F,E01014701,18.7,BS105NB,1,3.0,0.00042396834369700395
Bristol 037A,E01014730,17.6,BS105NB,1,2.0,0.0002826455624646693
Bristol 037B,E01014731,17.6,BS105NB,1,0.0,0.0
Bristol 037C,E01014732,18.7,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 037D,E01014735,18.7,BS105NB,1,1.0,0.00014132278123233464
Bristol 038A,E01014523,20.8,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 038B,E01014524,20.8,BS105NB,1,3.0,0.00042396834369700395
Bristol 038C,E01014525,19.8,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 038D,E01014526,21.9,BS105NB,1,3.0,0.00042396834369700395
