lsoa,lsoa_code,unit_travel_time,unit_postcode,selected,admissions,relative_frequency
Sedgemoor 010C,E01029092,27.3,TA15DA,1,1.0,0.00012848515996402416
Sedgemoor 010D,E01029108,25.1,TA15DA,1,6.0,0.0007709109597841449
Sedgemoor 011A,E01029102,24.1,TA15DA,1,2.666666667,0.0003426270932802261
Sedgemoor 011B,E01029103,28.4,TA15DA,1,5.0,0.0006424257998201208
Sedgemoor 011C,E01029104,25.1,TA15DA,1,3.333333333,0.0004282838665039188
Sedgemoor 011E,E01032631,27.3,TA15DA,1,2.333333333,0.00029979870653989467
Sedgemoor 011F,E01032632,26.2,TA15DA,1,3.333333333,0.0004282838665039188
Sedgemoor 011G,E01032634,25.1,TA15DA,1,4.0,0.0005139406398560967
Sedgemoor 012A,E01029130,31.6,BS234TQ,1,4.666666667,0.0005995974132082745
Sedgemoor 012B,E01029137,29.4,BS234TQ,1,1.0,0.00012848515996402416
Sedgemoor 012C,E01029138,29.4,TA15DA,1,1.666666667,0.000214141933316202
Sedgemoor 012D,E01029139,28.4,TA15DA,1,3.333333333,0.0004282838665039188
Sedgemoor 012E,E01029150,31.6,BS234TQ,1,1.666666667,0.000214141933316202
Sedgemoor 012F,E01029151,28.4,BS234TQ,1,3.333333333,0.0004282838665039188
Sedgemoor 013A,E01029097,24.1,TA15DA,1,1.333333333,0.00017131354657587048
Sedgemoor 013B,E01029098,21.9,TA15DA,1,2.333333333,0.00029979870653989467
Sedgemoor 013C,E01029099,24.1,TA15DA,1,4.666666667,0.0005995974132082745
Sedgemoor 013D,E01029100,21.9,TA15DA,1,1.333333333,0.00017131354657587048
Sedgemoor 013E,E01029105,25.1,TA15DA,1,4.333333333,0.0005567690264679429
Sedgemoor 014A,E01029101,23.0,TA15DA,1,1.0,0.00012848515996402416
Sedgemoor 014C,E01029142,21.9,TA15DA,1,2.0,0.00025697031992804833
Sedgemoor 014D,E01029143,21.9,TA15DA,1,3.333333333,0.0004282838665039188
Sedgemoor 014E,E01029144,24.1,TA15DA,1,3.333333333,0.0004282838665039188
Sedgemoor 014F,E01032629,21.9,TA15DA,1,2.666666667,0.0003426270932802261
Sedgemoor 014G,E01032630,21.9,TA15DA,1,2.0,0.00025697031992804833
South Gloucestershire 001A,E01014985,26.2,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 001B,E01014986,25.1,BS105NB,1,2.666666667,0.0003426270932802261
South Gloucestershire 001C,E01014987,26.2,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 001D,E01014988,25.1,BS105NB,1,3.333333333,0.0004282838665039188
South Gloucestershire 001E,E01014989,27.3,BS105NB,1,1.0,0.00012848515996402416
South Gloucestershire 002A,E01014990,25.1,BS105NB,1,2.0,0.00025697031992804833
South Gloucestershire 002B,E01014991,24.1,BS105NB,1,3.333333333,0.0004282838665039188
South Gloucestershire 002C,E01014992,24.1,BS105NB,1,0.333333333,4.2828386611846335e-05
South Gloucestershire 002D,E01014993,24.1,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 003A,E01014884,26.2,BS105NB,1,3.666666667,0.00047111225324425026
South Gloucestershire 003B,E01014885,27.3,BS105NB,1,2.0,0.00025697031992804833
South Gloucestershire 003C,E01014929,24.1,BS105NB,1,3.333333333,0.0004282838665039188
South Gloucestershire 003D,E01014930,31.6,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 004A,E01014863,23.0,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 004B,E01014864,21.9,BS105NB,1,2.0,0.00025697031992804833
South Gloucestershire 004C,E01014962,27.3,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 004D,E01014963,21.9,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 005A,E01014861,16.5,BS105NB,1,3.333333333,0.0004282838665039188
South Gloucestershire 005B,E01014862,16.5,BS105NB,1,5.0,0.0006424257998201208
South Gloucestershire 005C,E01014953,25.1,BS105NB,1,3.0,0.00038545547989207247
South Gloucestershire 005D,E01014954,26.2,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 006A,E01015014,28.4,BS105NB,1,1.0,0.00012848515996402416
South Gloucestershire 006B,E01015015,27.3,BS105NB,1,3.333333333,0.0004282838665039188
South Gloucestershire 006C,E01015016,27.3,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 006D,E01015017,25.1,BS105NB,1,4.333333333,0.0005567690264679429
South Gloucestershire 006E,E01015018,27.3,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 007A,E01015019,25.1,BS105NB,1,3.333333333,0.0004282838665039188
South Gloucestershire 007B,E01015020,25.1,BS105NB,1,2.666666667,0.0003426270932802261
South Gloucestershire 007C,E01015021,27.3,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 007D,E01015022,26.2,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 008A,E01014886,28.4,BA13NG,1,4.666666667,0.0005995974132082745
South Gloucestershire 008B,E01014887,28.4,BA13NG,1,3.333333333,0.0004282838665039188
South Gloucestershire 008C,E01014888,27.3,BS105NB,1,3.0,0.00038545547989207247
South Gloucestershire 008D,E01014889,27.3,BS105NB,1,2.666666667,0.0003426270932802261
South Gloucestershire 009A,E01014872,17.6,BS105NB,1,0.333333333,4.2828386611846335e-05
South Gloucestershire 009B,E01014874,16.5,BS105NB,1,0.333333333,4.2828386611846335e-05
South Gloucestershire 009C,E01014876,17.6,BS105NB,1,0.333333333,4.2828386611846335e-05
South Gloucestershire 009D,E01014877,16.5,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 009E,E01014879,15.5,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 009F,E01014881,16.5,BS105NB,1,0.0,0.0
South Gloucestershire 010A,E01015009,26.2,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 010B,E01015010,26.2,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 010C,E01015011,25.1,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 010D,E01015012,26.2,BS105NB,1,2.0,0.00025697031992804833
South Gloucestershire 010E,E01015013,27.3,BS105NB,1,1.0,0.00012848515996402416
South Gloucestershire 011A,E01014946,16.5,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 011B,E01014947,14.4,BS105NB,1,3.0,0.00038545547989207247
South Gloucestershire 011C,E01014948,17.6,BS105NB,1,5.333333333,0.000685254186431967
South Gloucestershire 011D,E01014949,16.5,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 011E,E01014950,15.5,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 011F,E01014951,16.5,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 011G,E01014952,14.4,BS105NB,1,2.666666667,0.0003426270932802261
South Gloucestershire 012A,E01014873,15.5,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 012B,E01014875,15.5,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 012C,E01014878,16.5,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 012D,E01014880,16.5,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 012E,E01014882,16.5,BS105NB,1,1.0,0.00012848515996402416
South Gloucestershire 012F,E01014883,15.5,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 013A,E01014911,20.8,BS105NB,1,3.333333333,0.0004282838665039188
South Gloucestershire 013B,E01014912,20.8,BS105NB,1,1.0,0.00012848515996402416
South Gloucestershire 013C,E01014913,20.8,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 013D,E01014914,19.8,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 014A,E01014892,26.2,BS105NB,1,1.666666667,0.000214141933316202
South Gloucestershire 014B,E01014893,26.2,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 014C,E01014894,27.3,BS105NB,1,0.333333333,4.2828386611846335e-05
South Gloucestershire 014D,E01014895,27.3,BS105NB,1,1.0,0.00012848515996402416
South Gloucestershire 014E,E01014896,26.2,BS105NB,1,0.333333333,4.2828386611846335e-05
South Gloucestershire 015A,E01014979,14.4,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 015B,E01014980,15.5,BS105NB,1,1.333333333,0.00017131354657587048
South Gloucestershire 015C,E01014982,15.5,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 015D,E01014983,15.5,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 015E,E01014984,14.4,BS105NB,1,3.666666667,0.00047111225324425026
South Gloucestershire 016A,E01014998,18.7,BS105NB,1,5.0,0.0006424257998201208
South Gloucestershire 016B,E01014999,19.8,BS105NB,1,1.0,0.00012848515996402416
South Gloucestershire 016C,E01015000,17.6,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 016D,E01015001,19.8,BS105NB,1,2.333333333,0.00029979870653989467
South Gloucestershire 017A,E01014978,16.5,BS105NB,1,1.0,0.00012848515996402416
South Gloucestershire 017B,E01014981,14.4,BS105NB,1,3.0,0.00038545547989207247
South Gloucestershire 017C,E01014996,15.5,BS105NB,1,2.666666667,0.0003426270932802261
South Gloucestershire 017E,E01033331,15.5,BS105NB,1,0.666666667,8.565677335217782e-05
South Gloucestershire 017F,E01033333,14.4,BS105NB,1,2.0,0.00025697031992804833
