property,,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency
subtype,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 015B,E01014456,12.2,BA13NG,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,,,,,,-0.5533272842351653,,0.1014889737674679,,0.6905507439745506,,2.666666667,0.0003426270932802261
Bath and North East Somerset 015C,E01014457,10.1,BA13NG,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,,,,,,,,,,,,,2.0,0.00025697031992804833
Bath and North East Somerset 015D,E01014458,11.2,BA13NG,1,1.0,0.00012848515996402416,30.0,,60.0,,80.0,,91.2,,,,,,,,,,,,,,1.0,0.00012848515996402416
Bath and North East Somerset 016A,E01014391,17.6,BA13NG,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,97.6,0.0,,,,,,,,,,,,,1.666666667,0.000214141933316202
Bath and North East Somerset 016B,E01014392,17.6,BA13NG,1,1.666666667,0.000214141933316202,30.0,,60.0,,80.0,,97.6,,,,,,,,,,,,,,1.666666667,0.000214141933316202
Bath and North East Somerset 016C,E01014452,13.3,BA13NG,1,2.666666667,0.0003426270932802261,30.0,,60.0,,80.0,,93.3,,,,,,,,,,,,,,2.666666667,0.0003426270932802261
Bath and North East Somerset 016D,E01014453,13.3,BA13NG,1,4.0,0.0005139406398560967,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,0.0,187.0,,247.0,,-0.5592222460434707,0.016610980365945115,0.1053514190967982,0.008555290100166786,0.6148932052927969,0.15041447842909753,4.0,0.0005139406398560967
Bath and North East Somerset 016E,E01014454,14.4,BA13NG,1,2.0,0.00025697031992804833,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 016F,E01014459,19.8,BA13NG,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,99.8,0.0,129.8,0.0,,,,,-0.5366505671229076,0.0,0.09861312277405798,0.0,0.6874322385683737,0.0,1.666666667,0.000214141933316202
Bath and North East Somerset 016G,E01014460,18.7,BA13NG,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,98.7,0.0,128.7,,192.4,,252.4,,-0.5669048899665166,,0.1149294838894665,,0.38580020095092876,,3.0,0.00038545547989207247
Bath and North East Somerset 017A,E01014415,11.2,BA13NG,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,,,,,-0.5555177252880323,0.0,0.101866121476618,0.0,0.6909597935863311,0.0,2.666666667,0.0003426270932802261
Bath and North East Somerset 017B,E01014416,13.3,BA13NG,1,4.333333333,0.0005567690264679429,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,0.0,187.0,0.0,247.0,0.0,-0.5675277362264433,0.01918070797156399,0.10962906414688159,0.009878798084653266,0.539685966078248,0.17368367922211328,4.333333333,0.0005567690264679429
Bath and North East Somerset 017C,E01014417,11.2,BA13NG,1,4.0,0.0005139406398560967,30.0,,60.0,,80.0,,91.2,,,,,,,,,,,,,,4.0,0.0005139406398560967
Bath and North East Somerset 018A,E01014387,13.3,BA13NG,1,1.666666667,0.000214141933316202,30.0,,60.0,,80.0,,93.3,,,,,,,,,,,,,,1.666666667,0.000214141933316202
Bath and North East Somerset 018B,E01014388,14.4,BA13NG,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,94.4,0.0,,,,,,,,,,,,,2.666666667,0.0003426270932802261
Bath and North East Somerset 018C,E01014389,14.4,BA13NG,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,94.4,0.0,124.40000000000002,0.0,188.1,,248.1,,-0.5592111755368655,0.01854340204847051,0.1062790938913375,0.009735636957037809,0.5892876728686373,0.1738322761021111,2.0,0.00025697031992804833
Bath and North East Somerset 018D,E01014390,13.3,BA13NG,1,1.333333333,0.00017131354657587048,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 019A,E01014431,12.2,BA13NG,1,1.333333333,0.00017131354657587048,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 019B,E01014432,13.3,BA13NG,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,,,,,,,,,,,,,2.666666667,0.0003426270932802261
Bath and North East Somerset 019C,E01014433,15.5,BA13NG,1,1.0,0.00012848515996402416,30.0,0.0,60.0,0.0,80.0,0.0,95.5,0.0,125.5,0.0,189.2,0.0,249.2,0.0,-0.5771102774928014,0.0,0.11685757120933021,0.0,0.38785588245083147,0.0,1.0,0.00012848515996402416
Bath and North East Somerset 019D,E01014434,13.3,BA13NG,1,1.666666667,0.000214141933316202,30.0,,60.0,,80.0,,93.3,,123.3,,187.0,,247.0,,-0.5841387165923884,,0.11818435424704837,,0.38927148764915054,,1.666666667,0.000214141933316202
Bath and North East Somerset 020A,E01014385,20.8,BA13NG,1,1.333333333,0.00017131354657587048,30.0,0.0,60.0,0.0,80.0,0.0,100.8,0.0,130.8,,,,,,-0.5344524278283935,,0.09823347024709594,,0.6870206347775829,,1.333333333,0.00017131354657587048
Bath and North East Somerset 020B,E01014386,23.0,BA13NG,1,1.0,0.00012848515996402416,30.0,0.0,60.0,0.0,80.0,0.0,103.0,0.0,133.0,,196.7,,256.7,,-0.5532246716224756,,0.11234199428892028,,0.38304429203975604,,1.0,0.00012848515996402416
Bath and North East Somerset 020C,E01014419,23.0,BA13NG,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,103.0,0.0,133.0,0.0,,,,,-0.529613409419682,0.0,0.09739721301195137,0.0,0.6861140689385011,0.0,3.0,0.00038545547989207247
Bath and North East Somerset 020D,E01014446,21.9,BA13NG,1,0.666666667,8.565677335217782e-05,30.0,,60.0,,80.0,,101.9,,131.9,,195.6,,255.6,,-0.556720627021126,,0.11300353742578978,,0.3837485845881295,,0.666666667,8.565677335217782e-05
Bath and North East Somerset 020E,E01014447,24.1,BS105NB,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,104.09999999999998,0.0,134.1,0.0,,,134.1,,-0.6706869718962779,0.2485400604424387,0.12708763617006996,0.0521504529822443,0.6117443158411587,0.12802615726772873,2.666666667,0.0003426270932802261
Bath and North East Somerset 021A,E01014382,28.4,BA13NG,1,4.333333333,0.0005567690264679429,30.0,0.0,60.0,0.0,80.0,0.0,108.40000000000002,0.0,138.4,0.0,202.1,,262.1,,-0.5238448717091901,0.010612397481947504,0.09992515766568909,0.007944086363972303,0.5824532335433726,0.17568123128841076,4.333333333,0.0005567690264679429
Bath and North East Somerset 021B,E01014383,33.7,BA13NG,1,1.666666667,0.000214141933316202,30.0,,60.0,,80.0,,113.7,,143.7,,207.4,,267.4,,-0.5193492464028671,,0.10592070057158065,,0.3762194375305024,,1.666666667,0.000214141933316202
Bath and North East Somerset 021C,E01014384,23.0,BA13NG,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,103.0,0.0,133.0,0.0,,,,,-0.529613409419682,0.0,0.09739721301195137,0.0,0.6861140689385011,0.0,1.666666667,0.000214141933316202
Bath and North East Somerset 021D,E01014418,28.4,BA13NG,1,0.666666667,8.565677335217782e-05,30.0,0.0,60.0,0.0,80.0,0.0,108.40000000000002,0.0,138.4,0.0,202.1,0.0,262.1,0.0,-0.5360990127950895,0.0,0.10909819846709917,0.0,0.379594021191515,0.0,0.666666667,8.565677335217782e-05
Bath and North East Somerset 022A,E01014379,18.7,BA13NG,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,98.7,0.0,128.7,0.0,,,,,-0.5390674957331283,0.0,0.09903040499309557,0.0,0.6878846615841877,0.0,3.0,0.00038545547989207247
Bath and North East Somerset 022B,E01014442,19.8,BA13NG,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,99.8,0.0,129.8,,193.5,,253.5,,-0.5634016651264289,,0.11426719649195877,,0.38509449602297785,,2.0,0.00025697031992804833
Bath and North East Somerset 022C,E01014443,20.8,BA13NG,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,100.8,0.0,130.8,0.0,194.5,0.0,254.5,0.0,-0.5473357551957079,0.01411297802960343,0.10594940402272517,0.008452381962256244,0.5357369999630639,0.1657229187385719,2.0,0.00025697031992804833
Bath and North East Somerset 022D,E01014444,19.8,BA13NG,1,3.333333333,0.0004282838665039188,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 022E,E01014445,21.9,BA13NG,1,1.666666667,0.000214141933316202,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 023A,E01014393,20.8,BA13NG,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,100.8,0.0,130.8,0.0,,,,,-0.5344524278283935,0.0,0.09823347024709594,0.0,0.6870206347775829,0.0,2.666666667,0.0003426270932802261
Bath and North East Somerset 023B,E01014394,23.0,BA13NG,1,3.333333333,0.0004282838665039188,30.0,0.0,60.0,0.0,80.0,0.0,103.0,0.0,133.0,0.0,,,,,-0.529613409419682,0.0,0.09739721301195137,0.0,0.6861140689385011,0.0,3.333333333,0.0004282838665039188
Bath and North East Somerset 023C,E01014439,25.1,BA13NG,1,6.333333333,0.0008137393463959913,30.0,0.0,60.0,0.0,80.0,0.0,105.09999999999998,0.0,135.1,0.0,,,,,-0.5249903715802715,0.0,0.09659765855945968,0.0,0.6852473833807909,0.0,6.333333333,0.0008137393463959913
Bath and North East Somerset 023D,E01014440,25.1,BA13NG,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,105.1,0.0,135.1,0.0,,,,,-0.5249903715802715,0.0,0.09659765855945968,0.0,0.6852473833807909,0.0,2.666666667,0.0003426270932802261
Bath and North East Somerset 023E,E01014441,25.1,BA13NG,1,2.333333333,0.00029979870653989467,30.0,0.0,60.0,0.0,80.0,0.0,105.09999999999998,0.0,135.1,0.0,198.8,,258.8,,-0.5357739468455783,0.015250278391067953,0.10383871322022753,0.01024039770714281,0.5334742407586874,0.21463963670016473,2.333333333,0.00029979870653989467
